split,class,filename,filepath,file_size_kb,hash
train,apple,Image_1.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_1.jpg,1591.03,a12171c58c67ab73fe56f9f5d6c08b50
train,apple,Image_10.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_10.jpg,130.93,1e913f53585c8e8a1271ce5acb14f135
train,apple,Image_16.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_16.jpg,23.43,1e9a53296e88003c6f283d4d5d8acae4
train,apple,Image_17.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_17.jpg,162.46,acf1f371ceea24968e662662c52bda91
train,apple,Image_18.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_18.jpg,66.83,72e2d4fd38ae54902fd059fd674d7fcc
train,apple,Image_19.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_19.jpg,383.6,567dceec576d9b516fd8e45a1b66ad90
train,apple,Image_2.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_2.jpg,74.17,d3998252f568bd9135733a89656de32a
train,apple,Image_20.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_20.jpg,94.71,ab88982f26be95131170a156312c1075
train,apple,Image_21.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_21.jpg,876.87,19561cd60769eb1dfb5a89275de24768
train,apple,Image_23.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_23.jpg,70.63,9b69a20593f2d85fa5c2ae32cdde29d0
train,apple,Image_24.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_24.jpg,70.01,81fe8fcf008e31f1b07a9f1a276fc64b
train,apple,Image_25.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_25.jpg,123.66,880a047a41fcce8cb5432b07ddd5a84f
train,apple,Image_26.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_26.jpg,83.14,855ef0b09fd650e49fcc7a7159a7d78a
train,apple,Image_27.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_27.jpg,47.31,90a3b5c8e501b2b71825f40c0d20e018
train,apple,Image_28.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_28.jpg,70.24,9f5991171654a2611cb09cb96dda667f
train,apple,Image_3.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_3.jpg,348.61,be2f7c93b3eef067a60282118af7f7c8
train,apple,Image_31.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_31.jpg,52.76,03585c1d470cba1be15a4a0a0f7b70f4
train,apple,Image_32.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_32.jpg,158.04,c0f58334999198d3d01b4da9426a1c18
train,apple,Image_33.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_33.jpg,191.24,dcb1d25e06aab3e5bffed5fc651b30ac
train,apple,Image_34.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_34.jpg,7554.87,1f24ab0897bb0136e4363bf0928f2bc1
