split,class,filename,filepath,file_size_kb,width,height,aspect_ratio,channels,format,r_mean,g_mean,b_mean,h_mean,s_mean,v_mean,is_corrupt
train,apple,Image_1.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_1.jpg,1591.0302734375,2218,2216,1.0009,3,JPEG,214.4,185.18,179.78,26.96,60.83,215.18,False
train,apple,Image_10.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_10.jpg,130.9296875,1200,1200,1.0,3,JPEG,204.55,189.59,176.17,46.51,58.52,208.41,False
train,apple,Image_16.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_16.jpg,23.431640625,250,249,1.004,3,JPEG,224.28,186.19,185.95,36.61,61.56,224.37,False
train,apple,Image_17.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_17.jpg,162.4619140625,1200,800,1.5,3,JPEG,105.12,99.55,72.44,59.23,114.99,119.3,False
train,apple,Image_18.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_18.jpg,66.828125,1280,720,1.7778,3,JPEG,205.48,168.46,165.15,32.62,82.63,207.53,False
train,apple,Image_19.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_19.jpg,383.6005859375,1200,1840,0.6522,3,JPEG,128.0,127.14,126.96,79.78,67.59,144.63,False
train,apple,Image_2.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_2.jpg,74.166015625,1280,720,1.7778,3,JPEG,170.05,133.16,135.7,48.02,56.5,171.85,False
train,apple,Image_20.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_20.jpg,94.7099609375,986,1080,0.913,3,JPEG,220.0,184.31,171.23,20.69,78.2,225.58,False
train,apple,Image_21.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_21.jpg,876.8662109375,3200,2400,1.3333,3,JPEG,232.32,200.49,159.81,29.45,81.68,232.32,False
train,apple,Image_23.jpg,C:\Users\Computer\OneDrive\เดสก์ท็อป\imageprocessing-prj\data\train\apple\Image_23.jpg,70.6337890625,1280,720,1.7778,3,JPEG,89.19,71.44,72.62,39.82,27.72,91.42,False
